t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
3.302,1.57005,0.9,1.57365,0.899724,1.57063,0.934069,-0.00920364,0.0023215,-4.41926e-06,9.76828e-07,0.00116695,0.000307425,0.000485471,1.14021e+06,0
3.322,1.58005,0.9,1.58353,0.899664,1.58327,0.93375,-0.0110412,0.00220562,-4.24882e-06,9.82518e-07,0.00113265,0.000298188,0.000478425,1.05778e+06,0
3.342,1.59005,0.9,1.5932,0.899605,1.59293,0.933643,-0.0096276,0.002233,-4.50928e-06,1.03369e-06,0.00113846,0.000302837,0.000480564,1.05778e+06,0
3.362,1.60005,0.9,1.60393,0.899542,1.60366,0.93354,-0.0104658,0.00226622,-4.78626e-06,1.08345e-06,0.00114502,0.000308018,0.000482705,1.05778e+06,0
3.382,1.61005,0.9,1.61425,0.899475,1.61398,0.933432,-0.0107492,0.00229716,-5.06505e-06,1.13574e-06,0.00115144,0.000313028,0.000484849,1.05778e+06,0
3.402,1.62005,0.9,1.62476,0.899408,1.62449,0.933319,-0.0103793,0.00232914,-5.36089e-06,1.19065e-06,0.00115807,0.00031815,0.000486994,1.05778e+06,0
3.422,1.63005,0.9,1.63494,0.899347,1.63467,0.933213,-0.00999398,0.00235927,-5.6274e-06,1.24224e-06,0.0011646,0.000323135,0.000489141,1.05778e+06,0
3.442,1.64005,0.9,1.64437,0.899289,1.64574,0.932777,-0.0108489,0.00223644,-5.3369e-06,1.24029e-06,0.0011302,0.000312993,0.000481738,922347,0
3.462,1.65005,0.9,1.65447,0.899219,1.65583,0.932668,-0.0117335,0.00226612,-5.61158e-06,1.29321e-06,0.00113658,0.000317884,0.000483887,922347,0
3.482,1.66005,0.9,1.66457,0.899142,1.66594,0.932549,-0.0120188,0.00229586,-5.90919e-06,1.35076e-06,0.00114306,0.000322803,0.000486038,922347,0
3.502,1.67005,0.9,1.67512,0.899059,1.67648,0.932422,-0.0123771,0.00232804,-6.24009e-06,1.41253e-06,0.00114992,0.000327957,0.000488191,922347,0
3.522,1.68005,0.9,1.68496,0.898986,1.68813,0.931961,-0.0113275,0.00221113,-5.97753e-06,1.41756e-06,0.00111671,0.00031792,0.000480734,868559,0
3.542,1.69005,0.9,1.69451,0.898919,1.69769,0.931853,-0.0115013,0.00223793,-6.23269e-06,1.46977e-06,0.00112284,0.000322542,0.000482888,868559,0
3.562,1.70005,0.9,1.70533,0.898837,1.70851,0.931729,-0.012532,0.00227169,-6.56427e-06,1.53006e-06,0.00112988,0.000327797,0.000485045,868559,0
3.582,1.71005,0.9,1.71464,0.898761,1.71781,0.931612,-0.0126032,0.00229723,-6.83132e-06,1.58683e-06,0.00113602,0.000332341,0.000487204,868559,0
3.602,1.72005,0.9,1.72531,0.898681,1.72848,0.931477,-0.0112856,0.0023301,-7.18329e-06,1.65254e-06,0.00114318,0.00033757,0.000489365,868559,0
3.622,1.73005,0.9,1.73538,0.898613,1.74071,0.931009,-0.01115,0.0022142,-6.8197e-06,1.64542e-06,0.00111055,0.000327274,0.00048171,833652,0
3.642,1.74005,0.9,1.74502,0.898543,1.75035,0.930902,-0.0123194,0.00224144,-7.07191e-06,1.69741e-06,0.00111691,0.000331948,0.000483872,833652,0
3.662,1.75005,0.9,1.75521,0.898458,1.76055,0.930776,-0.0134996,0.00227164,-7.38444e-06,1.7584e-06,0.00112373,0.000336912,0.000486037,833652,0
3.682,1.76005,0.9,1.76492,0.898373,1.77026,0.930645,-0.0129434,0.00229928,-7.69563e-06,1.82237e-06,0.00113033,0.000341666,0.000488204,833652,0
3.702,1.77005,0.9,1.77509,0.898289,1.78043,0.930514,-0.0126888,0.00232935,-8.0207e-06,1.88687e-06,0.00113733,0.000346663,0.000490372,833652,0
3.722,1.78005,0.9,1.78559,0.898207,1.79301,0.930142,-0.0121714,0.00221592,-7.64424e-06,1.88062e-06,0.00110537,0.000336222,0.00048253,810690,0
3.742,1.79005,0.9,1.79619,0.898125,1.8036,0.930013,-0.0124887,0.0022484,-7.97564e-06,1.94313e-06,0.00111255,0.000341369,0.0004847,810690,0
3.762,1.80005,0.9,1.80657,0.898044,1.81399,0.929883,-0.0122584,0.00227965,-8.30083e-06,2.00623e-06,0.0011197,0.000346435,0.000486873,810690,0
3.782,1.81005,0.9,1.81618,0.897968,1.8236,0.929766,-0.0127951,0.00230676,-8.57252e-06,2.06389e-06,0.00112641,0.000351151,0.000489047,810690,0
3.802,1.82005,0.9,1.82577,0.897893,1.83319,0.929643,-0.0120054,0.00233373,-8.8542e-06,2.12418e-06,0.00113319,0.000355876,0.000491224,810690,0
3.822,1.83005,0.9,1.83599,0.897814,1.84544,0.929217,-0.0127106,0.00221822,-8.36286e-06,2.10414e-06,0.00110131,0.000344931,0.000483192,780002,0
3.842,1.84005,0.9,1.84558,0.897737,1.85502,0.929095,-0.0127072,0.00224519,-8.64283e-06,2.16331e-06,0.00110797,0.000349598,0.00048537,780002,0
3.862,1.85005,0.9,1.85585,0.897649,1.86529,0.928964,-0.0135459,0.00227584,-8.96388e-06,2.22698e-06,0.00111521,0.000354621,0.000487551,780002,0
3.882,1.86005,0.9,1.86494,0.897568,1.87438,0.928841,-0.0136013,0.00230028,-9.23049e-06,2.28732e-06,0.0011217,0.000359089,0.000489733,780002,0
3.902,1.87005,0.9,1.87525,0.897481,1.88469,0.928701,-0.0125706,0.00233111,-9.57529e-06,2.3563e-06,0.00112916,0.000364175,0.000491918,780002,0
3.922,1.88005,0.9,1.88547,0.897402,1.89693,0.928372,-0.012263,0.0022159,-9.03295e-06,2.33025e-06,0.00109752,0.000352899,0.000483714,767668,0
3.942,1.89005,0.9,1.89579,0.897324,1.90725,0.928245,-0.012141,0.00224683,-9.34284e-06,2.39182e-06,0.00110486,0.00035793,0.0004859,767668,0
3.962,1.90005,0.9,1.90538,0.897255,1.91684,0.928129,-0.0114369,0.00227382,-9.60542e-06,2.44875e-06,0.00111178,0.00036263,0.000488088,767668,0
3.982,1.91005,0.9,1.91559,0.897189,1.92705,0.928012,-0.0107735,0.0023041,-9.88387e-06,2.50608e-06,0.00111924,0.000367651,0.000490279,767668,0
